Fecha;Concepto;Cargo;Abono;Saldo
03/05/2026;Nomina mayo;;1.850,00;2.450,00
06/05/2026;Mercadona centro;76,30;;2.373,70
10/05/2026;Iberdrola luz abril;62,15;;2.311,55
12/05/2026;Uber Eats cena;21,40;;2.290,15
17/05/2026;Repsol estacion;54,80;;2.235,35
21/05/2026;Devolucion compra Amazon;;34,99;2.270,34
25/05/2026;Telepizza familiar;23,50;;2.246,84
30/05/2026;Movistar fibra;49,99;;2.196,85
04/06/2026;Nomina junio;;1.850,00;4.046,85
08/06/2026;Lidl compra semanal;48,10;;3.998,75
13/06/2026;Starbucks Sol;5,15;;3.993,60
18/06/2026;Endesa gas mayo;40,25;;3.953,35
23/06/2026;Renfe AVE;81,00;;3.872,35
27/06/2026;Deliveroo cena;26,70;;3.845,65
