Type,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,2026-05-02 09:00:00,2026-05-02 09:01:10,Salary May,2000.00,0.00,EUR,COMPLETED,2120.00
CARD_PAYMENT,2026-05-04 12:30:00,2026-05-04 12:31:00,Mercadona centro,-64.20,0.00,EUR,COMPLETED,2055.80
CARD_PAYMENT,2026-05-09 19:15:00,2026-05-09 19:16:00,Starbucks London,-4.10,0.00,GBP,COMPLETED,2051.70
CARD_PAYMENT,2026-05-15 08:45:00,2026-05-15 08:46:00,Uber ride,-12.80,0.00,EUR,COMPLETED,2038.90
TRANSFER,2026-05-20 10:00:00,2026-05-20 10:00:30,Send to John,-50.00,0.00,USD,COMPLETED,1988.90
CARD_PAYMENT,2026-05-28 21:00:00,2026-05-28 21:01:00,McDonald's,-9.95,0.00,EUR,COMPLETED,1978.95
TOPUP,2026-06-02 09:00:00,2026-06-02 09:01:00,Salary June,2000.00,0.00,EUR,COMPLETED,3978.95
CARD_PAYMENT,2026-06-07 13:00:00,2026-06-07 13:01:00,Amazon order,-39.99,0.00,EUR,COMPLETED,3938.96
CARD_PAYMENT,2026-06-12 18:30:00,2026-06-12 18:31:00,Uber Eats dinner,-23.50,0.00,EUR,COMPLETED,3915.46
CARD_PAYMENT,2026-06-18 11:00:00,2026-06-18 11:01:00,Lidl groceries,-41.30,0.00,EUR,COMPLETED,3874.16
CARD_PAYMENT,2026-06-23 07:55:00,2026-06-23 08:01:12,Coffee Shop NYC,-3.50,0.00,USD,COMPLETED,3870.66
CARD_PAYMENT,2026-06-26 20:10:00,2026-06-26 20:11:00,Deliveroo,-27.80,0.00,EUR,COMPLETED,3842.86
