Fecha;Concepto;Importe;Saldo
05/04/2026;Nomina abril;1.850,00;2.310,55
07/04/2026;Mercadona centro;-89,42;2.221,13
11/04/2026;Iberdrola luz marzo;-63,80;2.157,33
15/04/2026;Repsol estacion servicio;-57,15;2.100,18
19/04/2026;Starbucks Gran Via;-5,40;2.094,78
24/04/2026;Renfe Cercanias;-12,30;2.082,48
30/04/2026;Movistar fibra;-49,99;2.032,49
05/05/2026;Nomina mayo;1.850,00;3.882,49
08/05/2026;Lidl compra;-46,28;3.836,21
13/05/2026;Uber viaje;-14,60;3.821,61
17/05/2026;Endesa gas mayo;-41,10;3.780,51
22/05/2026;McDonald's plaza;-13,75;3.766,76
28/05/2026;Vodafone movil;-29,99;3.736,77
05/06/2026;Nomina junio;1.850,00;5.586,77
09/06/2026;Carrefour compra mensual;-126,55;5.460,22
14/06/2026;Cabify trayecto;-10,20;5.450,02
21/06/2026;Naturgy luz junio;-59,40;5.390,62
26/06/2026;Glovo pedido;-18,90;5.371,72
